experiment,question_id,question,course_code,intent,difficulty,ground_truth_status,expected_language,detected_language,language_detection_correct,response_language_consistent,expected_source,expected_page,retrieved_source_1,retrieved_page_1,hit_at_1,hit_at_3,mrr,source_accuracy,page_accuracy,reference_token_recall,reference_token_precision,reference_token_f1,correctness_proxy,relevance_proxy,groundedness_proxy,completeness_proxy,latency_seconds,answer_mode,answer_bank_enabled
Fast,Q008,Course-e mention kora computer software-er dui-ti type ki?,CSE 101,topics,medium,needs_review,banglish,banglish,True,True,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.028846153846153848,0.05607476635514019,True,False,True,True,0.005,fast_extractive,False
Fast,Q009,What number systems are included in CSE 101?,CSE 101,topics,medium,verified,english,english,True,True,document2.pdf,3;4,document2.pdf,1,False,False,0.0,True,False,0.0,0.0,0.0,False,False,False,False,0.003,fast_extractive,False
Fast,Q009,CSE 101 কোর্সে কোন কোন Number System অন্তর্ভুক্ত করা হয়েছে?,CSE 101,topics,medium,verified,bangla,bangla,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q009,CSE 101 course-e kon kon Number System include kora hoyeche?,CSE 101,topics,medium,verified,banglish,banglish,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q010,What operations are included in the study of number systems?,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,False,0.0,True,False,1.0,0.03125,0.06060606060606061,True,False,False,True,0.003,fast_extractive,False
Fast,Q010,Number System-এর অধ্যয়নে কোন কোন গাণিতিক অপারেশন অন্তর্ভুক্ত রয়েছে?,CSE 101,topics,medium,needs_review,bangla,bangla,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q010,Number System-er study-te kon kon mathematical operation include kora hoyeche?,CSE 101,topics,medium,needs_review,banglish,banglish,True,True,document2.pdf,3;4,document1.pdf,2,False,False,0.0,False,False,0.0,0.0,0.0,False,False,False,False,0.007,fast_extractive,False
Fast,Q011,What topics are included under Boolean Algebra?,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.625,0.7692307692307693,True,True,True,True,0.005,structured_extractive,False
Fast,Q011,Boolean Algebra-এর অধীনে কোন কোন বিষয় অন্তর্ভুক্ত রয়েছে?,CSE 101,topics,medium,needs_review,bangla,bangla,True,False,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.625,0.7692307692307693,True,True,True,True,0.006,structured_extractive,False
Fast,Q011,Boolean Algebra-er under-e kon kon topic include kora hoyeche?,CSE 101,topics,medium,needs_review,banglish,banglish,True,True,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.625,0.7692307692307693,True,True,True,True,0.006,structured_extractive,False
Fast,Q012,What are the three program-planning tools included in CSE 101?,CSE 101,topics,medium,verified,english,english,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,1.0,0.04477611940298507,0.08571428571428572,True,False,True,True,0.004,structured_extractive,False
Fast,Q012,CSE 101 কোর্সে ব্যবহৃত তিনটি Program Planning Tool কী কী?,CSE 101,topics,medium,verified,bangla,bangla,True,True,document2.pdf,3;4,document2.pdf,1,False,False,0.0,True,False,0.0,0.0,0.0,False,False,False,False,0.006,fast_extractive,False
Fast,Q012,CSE 101 course-e use kora tin-ti Program Planning Tool ki ki?,CSE 101,topics,medium,verified,banglish,banglish,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,0.0,0.0,0.0,False,False,True,False,0.006,fast_extractive,False
Fast,Q013,What basic programming topics are introduced in CSE 101?,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,1.0,0.16417910447761194,0.28205128205128205,True,False,True,True,0.004,structured_extractive,False
Fast,Q013,CSE 101 কোর্সে কোন কোন মৌলিক Programming বিষয় পড়ানো হয়?,CSE 101,topics,medium,needs_review,bangla,bangla,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,1.0,0.16176470588235295,0.27848101265822783,True,False,True,True,0.006,structured_extractive,False
Fast,Q013,CSE 101 course-e kon kon basic Programming topic porano hoy?,CSE 101,topics,medium,needs_review,banglish,banglish,True,False,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,1.0,0.15714285714285714,0.271604938271605,True,False,True,True,0.005,structured_extractive,False
Fast,Q014,What decision-making statements are included in the course?,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.08955223880597014,0.1643835616438356,True,False,True,True,0.003,structured_extractive,False
Fast,Q014,কোর্সে কোন কোন Decision-Making Statement অন্তর্ভুক্ত রয়েছে?,CSE 101,topics,medium,needs_review,bangla,bangla,True,True,document2.pdf,3;4,document3.pdf,2,False,True,0.3333333333333333,False,False,0.16666666666666666,0.013888888888888888,0.02564102564102564,False,False,True,False,0.004,structured_extractive,False
Fast,Q014,Course-e kon kon Decision-Making Statement include kora hoyeche?,CSE 101,topics,medium,needs_review,banglish,banglish,True,True,document2.pdf,3;4,document3.pdf,2,False,True,0.3333333333333333,False,False,0.16666666666666666,0.013513513513513514,0.025,False,False,True,False,0.005,structured_extractive,False
Fast,Q015,What three types of loops are included in CSE 101?,CSE 101,topics,medium,verified,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.04477611940298507,0.08571428571428572,True,False,True,True,0.004,structured_extractive,False
Fast,Q015,CSE 101 কোর্সে কোন তিন ধরনের Loop অন্তর্ভুক্ত রয়েছে?,CSE 101,topics,medium,verified,bangla,bangla,True,True,document2.pdf,3;4,document2.pdf,1,False,True,0.3333333333333333,True,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q015,CSE 101 course-e kon tin dhoroner Loop include kora hoyeche?,CSE 101,topics,medium,verified,banglish,banglish,True,False,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.04285714285714286,0.0821917808219178,True,False,True,True,0.005,structured_extractive,False
Fast,Q016,What topics are included under repetition and loop statements?,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,False,0.0,True,False,1.0,0.6,0.7499999999999999,True,True,False,True,0.005,structured_extractive,False
Fast,Q016,Repetition and Loop Statements-এর অধীনে কোন কোন বিষয় অন্তর্ভুক্ত রয়েছে?,CSE 101,topics,medium,needs_review,bangla,bangla,True,False,document2.pdf,3;4,document2.pdf,2,False,False,0.0,True,False,1.0,0.6,0.7499999999999999,True,True,False,True,0.007,structured_extractive,False
Fast,Q016,Repetition and Loop Statements-er under-e kon kon topic include kora hoyeche?,CSE 101,topics,medium,needs_review,banglish,banglish,True,True,document2.pdf,3;4,document2.pdf,2,False,False,0.0,True,False,1.0,0.6,0.7499999999999999,True,True,False,True,0.007,structured_extractive,False
Fast,Q017,What types of arrays are mentioned in the course outline?,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,False,0.0,True,False,0.0,0.0,0.0,False,False,False,False,0.003,fast_extractive,False
Fast,Q017,কোর্সের Outline-এ কোন কোন ধরনের Array উল্লেখ করা হয়েছে?,CSE 101,topics,medium,needs_review,bangla,bangla,True,True,document2.pdf,3;4,document1.pdf,1,False,False,0.0,False,False,0.0,0.0,0.0,False,False,False,False,0.005,fast_extractive,False
Fast,Q017,Course-er Outline-e kon kon dhoroner Array mention kora hoyeche?,CSE 101,topics,medium,needs_review,banglish,banglish,True,True,document2.pdf,3;4,document1.pdf,1,False,False,0.0,False,False,0.0,0.0,0.0,False,False,False,False,0.005,fast_extractive,False
Fast,Q018,In which week is the Mid-Term Examination scheduled for CSE 101?,CSE 101,weekly_content,medium,verified,english,english,True,True,document2.pdf,4;5,document2.pdf,1,False,True,0.5,True,False,0.25,0.2857142857142857,0.26666666666666666,False,False,True,False,0.004,fast_extractive,False
Fast,Q018,CSE 101 কোর্সের Mid-Term Examination কোন সপ্তাহে অনুষ্ঠিত হয়?,CSE 101,weekly_content,medium,verified,bangla,bangla,True,True,document2.pdf,4;5,document2.pdf,1,False,True,0.5,True,False,0.2857142857142857,0.25,0.26666666666666666,False,False,True,False,0.006,fast_extractive,False
Fast,Q018,CSE 101 course-er Mid-Term Examination kon week-e onushthito hoy?,CSE 101,weekly_content,medium,verified,banglish,banglish,True,True,document2.pdf,4;5,document2.pdf,1,False,True,0.5,True,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q019,What percentage of the total marks is allocated to the Final Exam?,CSE 101,final_exam_marks,easy,verified,english,english,True,True,document2.pdf,4;5,document2.pdf,9,False,False,0.0,True,False,0.375,1.0,0.5454545454545454,False,True,False,False,0.004,fast_extractive,False
Fast,Q019,মোট নম্বরের কত শতাংশ Final Exam-এর জন্য বরাদ্দ করা হয়েছে?,CSE 101,final_exam_marks,easy,verified,bangla,bangla,True,True,document2.pdf,4;5,document2.pdf,9,False,False,0.0,True,False,0.42857142857142855,0.75,0.5454545454545454,False,True,False,False,0.006,fast_extractive,False
Fast,Q019,Total marks-er koto percent Final Exam-er jonno boraddo kora hoyeche?,CSE 101,final_exam_marks,easy,verified,banglish,banglish,True,True,document2.pdf,4;5,document2.pdf,9,False,False,0.0,True,False,1.0,0.25,0.4,True,False,False,True,0.007,fast_extractive,False
Fast,Q020,What grade is awarded for a score of 80% or above?,CSE 101,assessment,medium,verified,english,english,True,True,document2.pdf,4;5,document1.pdf,5,False,False,0.0,False,False,0.3333333333333333,0.25,0.28571428571428575,False,False,False,False,0.003,fast_extractive,False
Fast,Q020,80% বা তার বেশি নম্বর পেলে কোন Grade প্রদান করা হয়?,CSE 101,assessment,medium,verified,bangla,bangla,True,True,document2.pdf,4;5,document1.pdf,5,False,False,0.0,False,False,0.3333333333333333,0.2,0.25,False,False,False,False,0.006,fast_extractive,False
Fast,Q020,80% ba tar beshi marks pele kon Grade deya hoy?,CSE 101,assessment,medium,verified,banglish,banglish,True,True,document2.pdf,4;5,document1.pdf,5,False,False,0.0,False,False,0.3333333333333333,0.14285714285714285,0.2,False,False,False,False,0.005,fast_extractive,False
Fast,Q021,What is the course code and title of the English course?,ENG (CSE) 101,course_metadata,easy,verified,english,english,True,True,document3.pdf,1,document3.pdf,1,True,True,1.0,True,True,1.0,1.0,1.0,True,True,True,True,0.002,fast_extractive,False
Fast,Q021,English কোর্সের কোর্স কোড এবং শিরোনাম কী?,ENG (CSE) 101,course_metadata,easy,verified,bangla,bangla,True,True,document3.pdf,1,document3.pdf,1,True,True,1.0,True,True,0.5,0.5714285714285714,0.5333333333333333,False,True,True,False,0.004,fast_extractive,False
Fast,Q021,English course-er course code ebong title ki?,ENG (CSE) 101,course_metadata,easy,verified,banglish,banglish,True,True,document3.pdf,1,document3.pdf,1,True,True,1.0,True,True,1.0,1.0,1.0,True,True,True,True,0.004,fast_extractive,False
Fast,Q022,What is the main objective of the English course?,ENG (CSE) 101,course_objective,medium,verified,english,english,True,True,document3.pdf,1,document3.pdf,1,True,True,1.0,True,True,0.8421052631578947,0.5517241379310345,0.6666666666666666,True,True,True,False,0.002,fast_extractive,False
Fast,Q022,English কোর্সের প্রধান উদ্দেশ্য কী?,ENG (CSE) 101,course_objective,medium,verified,bangla,bangla,True,True,document3.pdf,1,document3.pdf,1,True,True,1.0,True,True,0.38095238095238093,0.26666666666666666,0.3137254901960784,False,False,True,False,0.003,fast_extractive,False
Fast,Q022,English course-er main objective ki?,ENG (CSE) 101,course_objective,medium,verified,banglish,banglish,True,True,document3.pdf,1,document3.pdf,1,True,True,1.0,True,True,0.5555555555555556,0.3125,0.39999999999999997,False,False,True,False,0.003,fast_extractive,False
Fast,Q023,What is CLO 1 of the English course?,ENG (CSE) 101,clo,easy,verified,english,english,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.8571428571428571,1.0,0.923076923076923,True,True,True,True,0.002,fast_extractive,False
Fast,Q023,English কোর্সের CLO 1 কী?,ENG (CSE) 101,clo,easy,verified,bangla,bangla,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.6666666666666666,0.5714285714285714,0.6153846153846153,False,True,True,False,0.003,fast_extractive,False
Fast,Q023,English course-er CLO 1 ki?,ENG (CSE) 101,clo,easy,verified,banglish,banglish,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.8,0.6666666666666666,0.7272727272727272,True,True,True,False,0.003,fast_extractive,False
Fast,Q024,What is CLO 2 of the English course?,ENG (CSE) 101,clo,easy,verified,english,english,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.6666666666666666,0.8571428571428571,0.75,False,True,True,False,0.002,fast_extractive,False
Fast,Q024,English কোর্সের CLO 2 কী?,ENG (CSE) 101,clo,easy,verified,bangla,bangla,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.5555555555555556,0.625,0.5882352941176471,False,True,True,False,0.003,fast_extractive,False
Fast,Q024,English course-er CLO 2 ki?,ENG (CSE) 101,clo,easy,verified,banglish,banglish,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.75,0.8571428571428571,0.7999999999999999,True,True,True,False,0.003,fast_extractive,False
Fast,Q025,What is CLO 3 of the English course?,ENG (CSE) 101,clo,easy,verified,english,english,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.9,0.75,0.8181818181818182,True,True,True,True,0.002,fast_extractive,False
Fast,Q025,English কোর্সের CLO 3 কী?,ENG (CSE) 101,clo,easy,verified,bangla,bangla,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.6363636363636364,0.5384615384615384,0.5833333333333334,False,True,True,False,0.003,fast_extractive,False
Fast,Q025,English course-er CLO 3 ki?,ENG (CSE) 101,clo,easy,verified,banglish,banglish,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.8888888888888888,0.6666666666666666,0.761904761904762,True,True,True,True,0.003,fast_extractive,False
Fast,Q026,What is CLO 4 of the English course?,ENG (CSE) 101,clo,easy,verified,english,english,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.8888888888888888,1.0,0.9411764705882353,True,True,True,True,0.002,fast_extractive,False
Fast,Q026,English কোর্সের CLO 4 কী?,ENG (CSE) 101,clo,easy,verified,bangla,bangla,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.7777777777777778,0.7777777777777778,0.7777777777777778,True,True,True,False,0.003,fast_extractive,False
Fast,Q026,English course-er CLO 4 ki?,ENG (CSE) 101,clo,easy,verified,banglish,banglish,True,True,document3.pdf,2,document3.pdf,1,False,True,0.3333333333333333,True,False,0.875,0.875,0.875,True,True,True,True,0.003,fast_extractive,False
Fast,Q027,What grammar topic is introduced in Week 1?,ENG (CSE) 101,weekly_content,medium,verified,english,english,True,True,document3.pdf,3;4,document1.pdf,3,False,True,0.3333333333333333,False,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q027,Week 1-এ কোন Grammar Topic পড়ানো হয়?,ENG (CSE) 101,weekly_content,medium,verified,bangla,bangla,True,True,document3.pdf,3;4,document1.pdf,3,False,True,0.3333333333333333,False,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q027,Week 1-e kon Grammar Topic porano hoy?,ENG (CSE) 101,weekly_content,medium,verified,banglish,banglish,True,True,document3.pdf,3;4,document1.pdf,3,False,True,0.3333333333333333,False,False,0.0,0.0,0.0,False,False,True,False,0.005,fast_extractive,False
Fast,Q028,What topics are covered in Week 2?,ENG (CSE) 101,weekly_content,medium,verified,english,english,True,True,document3.pdf,3;4,document1.pdf,3,False,True,0.3333333333333333,False,False,0.0,0.0,0.0,False,False,True,False,0.004,fast_extractive,False
Fast,Q028,Week 2-এ কোন কোন বিষয় পড়ানো হয়?,ENG (CSE) 101,weekly_content,medium,verified,bangla,bangla,True,True,document3.pdf,3;4,document1.pdf,3,False,True,0.3333333333333333,False,False,0.0,0.0,0.0,False,False,True,False,0.006,fast_extractive,False
Fast,Q028,Week 2-e kon kon topic porano hoy?,ENG (CSE) 101,weekly_content,medium,verified,banglish,banglish,True,True,document3.pdf,3;4,document1.pdf,3,False,True,0.3333333333333333,False,False,0.0,0.0,0.0,False,False,True,False,0.006,fast_extractive,False
Fast,Q029,What reading techniques are included in the course?,ENG (CSE) 101,topics,medium,verified,english,english,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.0,0.0,0.0,False,False,False,False,0.002,structured_extractive,False
Fast,Q029,কোর্সে কোন কোন Reading Technique অন্তর্ভুক্ত রয়েছে?,ENG (CSE) 101,topics,medium,verified,bangla,bangla,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.0,0.0,0.0,False,False,False,False,0.004,structured_extractive,False
Fast,Q029,Course-e kon kon Reading Technique include kora hoyeche?,ENG (CSE) 101,topics,medium,verified,banglish,banglish,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.0,0.0,0.0,False,False,False,False,0.004,structured_extractive,False
Fast,Q030,What types of formal letters are included in the course?,ENG (CSE) 101,topics,medium,verified,english,english,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.8,0.056338028169014086,0.10526315789473684,True,False,False,False,0.003,structured_extractive,False
Fast,Q030,কোর্সে কোন কোন ধরনের Formal Letter অন্তর্ভুক্ত রয়েছে?,ENG (CSE) 101,topics,medium,verified,bangla,bangla,True,True,document3.pdf,3;4,document3.pdf,3,True,True,1.0,True,True,0.8,0.03508771929824561,0.06722689075630252,True,False,True,False,0.005,fast_extractive,False
Fast,Q030,Course-e kon kon dhoroner Formal Letter include kora hoyeche?,ENG (CSE) 101,topics,medium,verified,banglish,banglish,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.75,0.04054054054054054,0.07692307692307693,True,False,False,False,0.004,structured_extractive,False
Fast,Q031,What is taught under the Email Writing topic?,ENG (CSE) 101,topics,medium,verified,english,english,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.2857142857142857,0.028169014084507043,0.05128205128205127,False,False,False,False,0.005,structured_extractive,False
Fast,Q031,Email Writing-এর অধীনে কী শেখানো হয়?,ENG (CSE) 101,topics,medium,verified,bangla,bangla,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.14285714285714285,0.013888888888888888,0.02531645569620253,False,False,False,False,0.006,structured_extractive,False
Fast,Q031,Email Writing-er under-e ki shekhano hoy?,ENG (CSE) 101,topics,medium,verified,banglish,banglish,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.14285714285714285,0.013513513513513514,0.02469135802469136,False,False,False,False,0.005,structured_extractive,False
Fast,Q032,What topic is covered after the Mid-Term Examination?,ENG (CSE) 101,weekly_content,medium,verified,english,english,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,1.0,0.028169014084507043,0.05479452054794521,True,False,False,True,0.003,structured_extractive,False
Fast,Q032,Mid-Term Examination-এর পর কোন বিষয় পড়ানো হয়?,ENG (CSE) 101,weekly_content,medium,verified,bangla,bangla,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,1.0,0.027777777777777776,0.05405405405405406,True,False,False,True,0.005,structured_extractive,False
Fast,Q032,Mid-Term Examination-er por kon topic porano hoy?,ENG (CSE) 101,weekly_content,medium,verified,banglish,banglish,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,1.0,0.02702702702702703,0.052631578947368425,True,False,False,True,0.005,structured_extractive,False
Fast,Q033,What is the focus of the Modals Verbs topic?,ENG (CSE) 101,topics,medium,needs_review,english,english,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.375,0.04225352112676056,0.0759493670886076,False,False,False,False,0.003,structured_extractive,False
Fast,Q033,Modals Verbs বিষয়টির মূল লক্ষ্য কী?,ENG (CSE) 101,topics,medium,needs_review,bangla,bangla,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.16666666666666666,0.013888888888888888,0.02564102564102564,False,False,False,False,0.003,structured_extractive,False
Fast,Q033,Modals Verbs topic-er main focus ki?,ENG (CSE) 101,topics,medium,needs_review,banglish,banglish,True,True,document3.pdf,3;4,document3.pdf,2,False,False,0.0,True,False,0.16666666666666666,0.013513513513513514,0.025,False,False,False,False,0.004,structured_extractive,False
Fast,Q034,What are commonly confusing words according to the course outline?,ENG (CSE) 101,topics,hard,needs_review,english,english,True,True,document3.pdf,3;4,document3.pdf,2,False,True,0.5,True,False,1.0,0.061946902654867256,0.11666666666666665,True,False,True,True,0.004,fast_extractive,False
