question_id,question,expected_language,course_code,expected_intent,detected_intent,ground_truth_status,detected_language,response_language,language_consistent,reference_answer,generated_answer,language_consistency,reference_token_overlap,answer_mode,generation_mode,retrieved_source_1,retrieved_page_1,retrieved_score_1,retrieved_source_2,retrieved_page_2,retrieved_score_2,retrieved_source_3,retrieved_page_3,retrieved_score_3,latency_seconds,answer_bank_enabled,retrieved_source,retrieved_page,retrieval_score
Q004,CSE 101-এর CLO 2 কী?,bangla,CSE 101,clo,clo,verified,bangla,bangla,True,CLO 2 is to understand the fundamentals of Boolean algebra and number systems.,উত্তর: CLO 2: Understand the fundamentals of Boolean algebra and number systems.,True,0.889,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,5,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 5,40.0000; 40.0000; 39.0000
Q004,CSE 101-er CLO 2 ki?,banglish,CSE 101,clo,clo,verified,banglish,banglish,True,CLO 2 is to understand the fundamentals of Boolean algebra and number systems.,CLO 2 holo Understand the fundamentals of Boolean algebra and number systems.,True,0.889,fast_extractive,fast_extractive,document2.pdf,2,42.0000,document2.pdf,3,42.0000,document2.pdf,5,40.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 5,42.0000; 42.0000; 40.0000
Q005,What is CLO 3 of CSE 101?,english,CSE 101,clo,clo,verified,english,english,True,"CLO 3 is to design flowcharts, algorithms and pseudocodes.","CLO 3: Design flowcharts, algorithms and pseudocodes of problem solutions.",True,0.833,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,6,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 6,40.0000; 40.0000; 39.0000
Q005,CSE 101-এর CLO 3 কী?,bangla,CSE 101,clo,clo,verified,bangla,bangla,True,"CLO 3 is to design flowcharts, algorithms and pseudocodes.","উত্তর: CLO 3: Design flowcharts, algorithms and pseudocodes of problem solutions.",True,0.833,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,6,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 6,40.0000; 40.0000; 39.0000
Q005,CSE 101-er CLO 3 ki?,banglish,CSE 101,clo,clo,verified,banglish,banglish,True,"CLO 3 is to design flowcharts, algorithms and pseudocodes.","CLO 3 holo Design flowcharts, algorithms and pseudocodes of problem solutions.",True,0.833,fast_extractive,fast_extractive,document2.pdf,2,42.0000,document2.pdf,3,42.0000,document2.pdf,6,41.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 6,42.0000; 42.0000; 41.0000
Q006,What is CLO 4 of CSE 101?,english,CSE 101,clo,clo,verified,english,english,True,"CLO 4 is to develop simple programs using conditionals, loops and arrays.","CLO 4: Develop simple programs using conditionals, loops, and arrays.",True,0.889,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,6,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 6,40.0000; 40.0000; 39.0000
Q006,CSE 101-এর CLO 4 কী?,bangla,CSE 101,clo,clo,verified,bangla,bangla,True,"CLO 4 is to develop simple programs using conditionals, loops and arrays.","উত্তর: CLO 4: Develop simple programs using conditionals, loops, and arrays.",True,0.889,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,6,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 6,40.0000; 40.0000; 39.0000
Q006,CSE 101-er CLO 4 ki?,banglish,CSE 101,clo,clo,verified,banglish,banglish,True,"CLO 4 is to develop simple programs using conditionals, loops and arrays.","CLO 4 holo Develop simple programs using conditionals, loops, and arrays.",True,0.889,fast_extractive,fast_extractive,document2.pdf,2,42.0000,document2.pdf,3,42.0000,document2.pdf,6,41.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 6,42.0000; 42.0000; 41.0000
Q007,Name four types of computer hardware mentioned in the course.,english,CSE 101,topics,unknown,needs_review,english,english,True,"Mouse, keyboard, monitor and CPU.","Relevant information from the available university documents:

Course Learning Outcomes: at the end of the Course, the Students will be able to – CLO 1 Describe fundamentals of Computer Systems, Software, and Hardware CLO 2 Understand the fundamentals of Boolean algebra and number systems CLO 3 Design flowcharts, algorithms and pseudocodes of problem solutions CLO 4 Develop simple programs using conditionals, loops, and arrays 13. Course Content: Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays University of Asia Pacific (UAP) Department of Computer Science and Engineering (CSE) BSc in CSE Program Course Outline – Course Name Part A – Introduction 1.",True,1.000,fast_extractive,fast_extractive,document2.pdf,2,6.0000,document3.pdf,1,6.0000,document1.pdf,1,4.0000,0.004,False,document2.pdf; document3.pdf; document1.pdf,2; 1; 1,6.0000; 6.0000; 4.0000
Q007,কোর্সে উল্লেখিত চারটি কম্পিউটার হার্ডওয়্যারের নাম কী?,bangla,CSE 101,topics,unknown,needs_review,bangla,bangla,True,"Mouse, keyboard, monitor and CPU.",উপলব্ধ বিশ্ববিদ্যালয়ের নথিতে এই তথ্যটি পাওয়া যায়নি।,True,0.000,unsupported,unsupported,,,,,,,,,,0.004,False,,,
Q007,Course-e mention kora char-ti computer hardware-er naam ki?,banglish,CSE 101,topics,unknown,needs_review,banglish,banglish,True,"Mouse, keyboard, monitor and CPU.","Ei information-ta: Course Learning Outcomes: at the end of the Course, the Students will be able to – CLO 1 Describe fundamentals of Computer Systems, Software, and Hardware CLO 2 Understand the fundamentals of Boolean algebra and number systems CLO 3 Design flowcharts, algorithms and pseudocodes of problem solutions CLO 4 Develop simple programs using conditionals, loops, and arrays 13. Course Content: Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays No Topics / Content Course Learning Outcome (CLO) 1 Looking Inside the Computer System, Using the Keyboard and Mouse, Inputting Data in Other Ways, Video and Sound, Transforming Data into Information CLO1 2 Number system, Boolean algebra CLO2 3 Programming planning tools CLO3 4.",True,1.000,fast_extractive,fast_extractive,document2.pdf,2,8.0000,document2.pdf,3,7.0000,document2.pdf,7,7.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 7,8.0000; 7.0000; 7.0000
Q008,What are the two types of computer software mentioned in the course?,english,CSE 101,topics,unknown,needs_review,english,english,True,Application software and system software.,"Relevant information from the available university documents:

Course Learning Outcomes: at the end of the Course, the Students will be able to – CLO 1 Describe fundamentals of Computer Systems, Software, and Hardware CLO 2 Understand the fundamentals of Boolean algebra and number systems CLO 3 Design flowcharts, algorithms and pseudocodes of problem solutions CLO 4 Develop simple programs using conditionals, loops, and arrays 13. Course Content: Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays University of Asia Pacific (UAP) Department of Computer Science and Engineering (CSE) BSc in CSE Program Course Outline – Computer Fundamentals and Programming Part A – Introduction 1.",True,1.000,fast_extractive,fast_extractive,document2.pdf,2,6.0000,document2.pdf,1,4.0000,document2.pdf,3,4.0000,0.004,False,document2.pdf; document2.pdf; document2.pdf,2; 1; 3,6.0000; 4.0000; 4.0000
Q008,কোর্সে উল্লেখিত কম্পিউটার সফটওয়্যারের দুটি ধরন কী?,bangla,CSE 101,topics,course_type,needs_review,bangla,bangla,True,Application software and system software.,উপলব্ধ বিশ্ববিদ্যালয়ের নথিতে এই তথ্যটি পাওয়া যায়নি।,True,0.000,unsupported,unsupported,,,,,,,,,,0.004,False,,,
Q008,Course-e mention kora computer software-er dui-ti type ki?,banglish,CSE 101,topics,course_type,needs_review,banglish,banglish,True,Application software and system software.,"Ei information-ta: Course Learning Outcomes: at the end of the Course, the Students will be able to – CLO 1 Describe fundamentals of Computer Systems, Software, and Hardware CLO 2 Understand the fundamentals of Boolean algebra and number systems CLO 3 Design flowcharts, algorithms and pseudocodes of problem solutions CLO 4 Develop simple programs using conditionals, loops, and arrays 13. Course Content: Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays University of Asia Pacific (UAP) Department of Computer Science and Engineering (CSE) BSc in CSE Program Course Outline – Computer Fundamentals and Programming Part A – Introduction 1.",True,1.000,fast_extractive,fast_extractive,document2.pdf,2,9.0000,document2.pdf,1,8.0000,document2.pdf,3,7.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,2; 1; 3,9.0000; 8.0000; 7.0000
Q009,What number systems are included in CSE 101?,english,CSE 101,topics,course_code,verified,english,english,True,"Binary, decimal, octal and hexadecimal.",Course code: CSE 101.,True,0.000,fast_extractive,fast_extractive,document2.pdf,1,32.0000,document2.pdf,2,24.0000,document2.pdf,5,24.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 5,32.0000; 24.0000; 24.0000
Q009,CSE 101 কোর্সে কোন কোন Number System অন্তর্ভুক্ত করা হয়েছে?,bangla,CSE 101,topics,course_code,verified,bangla,bangla,True,"Binary, decimal, octal and hexadecimal.",উত্তর: Course code: CSE 101.,True,0.000,fast_extractive,fast_extractive,document2.pdf,1,34.0000,document2.pdf,2,24.0000,document2.pdf,3,24.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,34.0000; 24.0000; 24.0000
Q009,CSE 101 course-e kon kon Number System include kora hoyeche?,banglish,CSE 101,topics,course_code,verified,banglish,banglish,True,"Binary, decimal, octal and hexadecimal.",Course-er code holo CSE 101.,True,0.000,fast_extractive,fast_extractive,document2.pdf,1,34.0000,document2.pdf,2,24.0000,document2.pdf,3,24.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,34.0000; 24.0000; 24.0000
Q010,What operations are included in the study of number systems?,english,CSE 101,topics,course_code,needs_review,english,english,True,"Conversion, addition and subtraction.","Relevant information from the available university documents:

Course Learning Outcomes: at the end of the Course, the Students will be able to – CLO 1 Describe fundamentals of Computer Systems, Software, and Hardware CLO 2 Understand the fundamentals of Boolean algebra and number systems CLO 3 Design flowcharts, algorithms and pseudocodes of problem solutions CLO 4 Develop simple programs using conditionals, loops, and arrays 13. Course Content: Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays Number System ● binary, decimal, octal, hexadecimal, etc.",True,1.000,fast_extractive,fast_extractive,document2.pdf,2,4.0000,document2.pdf,5,4.0000,document1.pdf,1,2.0000,0.003,False,document2.pdf; document2.pdf; document1.pdf,2; 5; 1,4.0000; 4.0000; 2.0000
Q010,Number System-এর অধ্যয়নে কোন কোন গাণিতিক অপারেশন অন্তর্ভুক্ত রয়েছে?,bangla,CSE 101,topics,course_code,needs_review,bangla,bangla,True,"Conversion, addition and subtraction.",উত্তর: Course code: CSE 101.,True,0.000,fast_extractive,fast_extractive,document2.pdf,1,4.0000,document2.pdf,2,4.0000,document2.pdf,3,4.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,4.0000; 4.0000; 4.0000
Q010,Number System-er study-te kon kon mathematical operation include kora hoyeche?,banglish,CSE 101,topics,course_code,needs_review,banglish,banglish,True,"Conversion, addition and subtraction.","Ei information-ta: CLO 3 Apply the concepts or techniques of differentiation and integration to solve the problems related to engineering study. CLO 5 Calculate the length, area, volume, center of gravity and average value related to engineering study. Course Content: Functions: Graphing Functions, Mathematical Models and Commonly used Functions (Linear, Polynomial, Power), Mathematical Models and Commonly Used Functions (Algebraic, Trigonometric, Exponential, and Logarithmic Functions), Transformations (Scaling, Reflection, Composition), Inverse of Functions, Growth of Functions.",True,0.000,fast_extractive,fast_extractive,document1.pdf,2,7.0000,document2.pdf,1,6.0000,document2.pdf,2,6.0000,0.007,False,document1.pdf; document2.pdf; document2.pdf,2; 1; 2,7.0000; 6.0000; 6.0000
Q011,What topics are included under Boolean Algebra?,english,CSE 101,topics,topics,needs_review,english,english,True,"Logic gates, Boolean addition and Boolean multiplication.","Topics under Boolean Algebra:
- Logic gates
- Boolean addition
- Boolean multiplication",True,1.000,structured_extractive,structured_extractive,document2.pdf,2,27.0000,document3.pdf,2,18.0000,document2.pdf,3,15.0000,0.005,False,document2.pdf; document3.pdf; document2.pdf,2; 2; 3,27.0000; 18.0000; 15.0000
Q011,Boolean Algebra-এর অধীনে কোন কোন বিষয় অন্তর্ভুক্ত রয়েছে?,bangla,CSE 101,topics,topics,needs_review,bangla,banglish,False,"Logic gates, Boolean addition and Boolean multiplication.","Boolean Algebra-er odhine bishoygulo:
- Logic gates
- Boolean addition
- Boolean multiplication",False,1.000,structured_extractive,structured_extractive,document2.pdf,2,26.0000,document3.pdf,2,16.0000,document2.pdf,3,13.0000,0.006,False,document2.pdf; document3.pdf; document2.pdf,2; 2; 3,26.0000; 16.0000; 13.0000
Q011,Boolean Algebra-er under-e kon kon topic include kora hoyeche?,banglish,CSE 101,topics,topics,needs_review,banglish,banglish,True,"Logic gates, Boolean addition and Boolean multiplication.","Boolean Algebra-er under-e topics:
- Logic gates
- Boolean addition
- Boolean multiplication",True,1.000,structured_extractive,structured_extractive,document2.pdf,2,28.0000,document3.pdf,2,19.0000,document2.pdf,3,15.0000,0.006,False,document2.pdf; document3.pdf; document2.pdf,2; 2; 3,28.0000; 19.0000; 15.0000
Q012,What are the three program-planning tools included in CSE 101?,english,CSE 101,topics,topics,verified,english,english,True,"Flowcharts, algorithms and pseudocodes.","Topics include Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays.",True,1.000,structured_extractive,structured_extractive,document2.pdf,1,36.0000,document2.pdf,2,36.0000,document2.pdf,3,31.0000,0.004,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,36.0000; 36.0000; 31.0000
Q012,CSE 101 কোর্সে ব্যবহৃত তিনটি Program Planning Tool কী কী?,bangla,CSE 101,topics,course_metadata,verified,bangla,bangla,True,"Flowcharts, algorithms and pseudocodes.",উত্তর: Course code: CSE 101. Course title: Computer Fundamentals and Programming. Course type: Core Course. Credit value: 3.0.,True,0.000,fast_extractive,fast_extractive,document2.pdf,1,35.0000,document2.pdf,2,25.0000,document2.pdf,6,25.0000,0.006,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 6,35.0000; 25.0000; 25.0000
Q012,CSE 101 course-e use kora tin-ti Program Planning Tool ki ki?,banglish,CSE 101,topics,course_metadata,verified,banglish,banglish,True,"Flowcharts, algorithms and pseudocodes.",Course-er code holo CSE 101. Course title: Computer Fundamentals and Programming. Course type: Core Course. Credit value: 3.0.,True,0.000,fast_extractive,fast_extractive,document2.pdf,1,37.0000,document2.pdf,2,30.0000,document2.pdf,3,29.0000,0.006,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,37.0000; 30.0000; 29.0000
Q013,What basic programming topics are introduced in CSE 101?,english,CSE 101,topics,topics,needs_review,english,english,True,"Basic input-output, data types, constants, variables, operators, expressions and type conversion.","Topics include Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays.",True,1.000,structured_extractive,structured_extractive,document2.pdf,1,34.0000,document2.pdf,2,34.0000,document2.pdf,3,32.0000,0.004,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,34.0000; 34.0000; 32.0000
Q013,CSE 101 কোর্সে কোন কোন মৌলিক Programming বিষয় পড়ানো হয়?,bangla,CSE 101,topics,topics,needs_review,bangla,bangla,True,"Basic input-output, data types, constants, variables, operators, expressions and type conversion.","উত্তর: Topics include Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays.",True,1.000,structured_extractive,structured_extractive,document2.pdf,1,32.0000,document2.pdf,2,32.0000,document2.pdf,3,28.0000,0.006,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,32.0000; 32.0000; 28.0000
Q013,CSE 101 course-e kon kon basic Programming topic porano hoy?,banglish,CSE 101,topics,topics,needs_review,banglish,english,False,"Basic input-output, data types, constants, variables, operators, expressions and type conversion.","Ei information-ta: Topics include Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays.",False,1.000,structured_extractive,structured_extractive,document2.pdf,1,34.0000,document2.pdf,2,34.0000,document2.pdf,3,31.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,34.0000; 34.0000; 31.0000
Q014,What decision-making statements are included in the course?,english,CSE 101,topics,topics,needs_review,english,english,True,"If-else, switch statements and conditional operators.","Topics include Computer Hardware: mouse, keyboard, monitor, CPU, printer, scanner, router, modem; Computer Software: application software, system software; Boolean Algebra: logic gates, Boolean addition, and multiplication, Number Systems: binary, decimal, octal, hexadecimal number systems and their conversions, addition, subtraction; Program Planning Tools: flowcharts, algorithms, pseudocodes; Introduction to Programming: basic input-output, data types, constants and variables; operators and expressions; type conversion; Decision making: branching and selection structures; if-else and switch statements, conditional operators; Repetition and Loop Statements: for loop, while loop, do-while loop, branching and looping, loop nesting; Arrays: introduction to arrays.",True,1.000,structured_extractive,structured_extractive,document2.pdf,2,16.0000,document3.pdf,2,16.0000,document2.pdf,3,12.0000,0.003,False,document2.pdf; document3.pdf; document2.pdf,2; 2; 3,16.0000; 16.0000; 12.0000
Q014,কোর্সে কোন কোন Decision-Making Statement অন্তর্ভুক্ত রয়েছে?,bangla,CSE 101,topics,topics,needs_review,bangla,bangla,True,"If-else, switch statements and conditional operators.","উত্তর: Topics include 15. Alignment of topics of the courses with CLOs: SL Topic/ Content Course Outcome 1 Overview of the syllabus, Introduction to basic grammar like Articles CLO1 2 Subject Verb Agreement and Prepositions; Quiz 1 CLO1 3 Pronouns and possessives, Reading comprehension CLO1, CLO2 4 Tense; Class Test 1 CLO1 5 letter writing (Order, Apology, Complain, Request) CLO3 6 Email Writing CLO4 7 Review of Midterm Syllabus MIDTERM EXAM 8 Discussion of Midterm Exam Result, Conditional Sentences CLO1, CLO2 9 Joining sentences CLO1 10 Modals Verbs, Quiz 2 CLO1 11 Commonly confusing words CLO2 12 Punctuation, capital letters and Spelling (Error Correction) CLO1, CLO2 13 Film and book review; Presentation CLO4 14 Paragraph writing and Review of Final Exam Syllabus CLO3, CLO4.",True,0.167,structured_extractive,structured_extractive,document3.pdf,2,16.0000,document2.pdf,2,15.0000,document2.pdf,3,11.0000,0.004,False,document3.pdf; document2.pdf; document2.pdf,2; 2; 3,16.0000; 15.0000; 11.0000
