question_id,course_code,intent,difficulty,english_question,bangla_question,banglish_question,ground_truth_answer_en,ground_truth_answer_bn,ground_truth_answer_banglish,expected_source,expected_page,ground_truth_status,notes
Q019,GENERAL,general,medium,What is Category 1 in the registration process?,রেজিস্ট্রেশন প্রক্রিয়ায় Category 1 কী?,Registration process-e Category 1 ki?,Category 1 is for students who passed all prescribed semester courses and have no backlog.,Category 1 হলো যারা সেমিস্টারের সব নির্ধারিত কোর্সে পাস করেছে এবং কোনো backlog নেই।,Category 1 holo students jara semester-er shob prescribed course pass koreche ebong kono backlog nei.,curricula_BSc-Curriculum-New.pdf,18,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q020,GENERAL,mark_distribution,medium,What is the mark distribution for a theoretical course?,থিওরেটিক্যাল কোর্সে মার্কস বণ্টন কী?,Theoretical course-e marks distribution ki?,"The distribution is Assessment 30%, Mid Semester 20%, and Final Exam 50%.","বণ্টন হলো Assessment 30%, Mid Semester 20%, এবং Final Exam 50%।","Distribution holo Assessment 30%, Mid Semester 20%, ar Final Exam 50%.",curricula_BSc-Curriculum-New.pdf,18,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q021,GENERAL,assessment,medium,What numeric mark earns an A+ grade?,কত নম্বর পেলে A+ গ্রেড হয়?,Koto marks pele A+ grade hoy?,A numeric grade of 80% and above earns A+ with grade point 4.00.,80% বা তার বেশি নম্বরে A+ গ্রেড এবং grade point 4.00 হয়।,80% and above marks-e A+ grade ar grade point 4.00 hoy.,curricula_BSc-Curriculum-New.pdf,19,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q022,GENERAL,general,medium,What happens if a student gets less than 40% in a course?,কোনো কোর্সে 40%-এর কম পেলে কী হয়?,Kono course-e 40%-er kom pele ki hoy?,Less than 40% results in an F grade with grade point 0.00.,40%-এর কম নম্বরে F গ্রেড এবং grade point 0.00 হয়।,40%-er kom marks-e F grade ar grade point 0.00 hoy.,curricula_BSc-Curriculum-New.pdf,19,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q023,GENERAL,general,medium,What attendance is required to sit for the final examination?,ফাইনাল পরীক্ষায় বসতে কত উপস্থিতি দরকার?,Final exam-e boshte koto attendance dorkar?,A student must attend at least 70% of all classes held in every course to sit for the final examination.,ফাইনাল পরীক্ষায় বসতে প্রত্যেক কোর্সে অনুষ্ঠিত ক্লাসের অন্তত 70% উপস্থিতি দরকার।,Final exam-e boshte prottek course-e held classes-er at least 70% attendance dorkar.,curricula_BSc-Curriculum-New.pdf,20,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q024,GENERAL,general,medium,What CGPA is required for a degree with honors?,ডিগ্রি উইথ অনার্সের জন্য কত CGPA দরকার?,Degree with honors-er jonno koto CGPA dorkar?,A candidate is awarded a degree with honors if the CGPA is 3.75 or above.,CGPA 3.75 বা তার বেশি হলে degree with honors দেওয়া হয়।,CGPA 3.75 or above hole degree with honors deya hoy.,curricula_BSc-Curriculum-New.pdf,20,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q025,GENERAL,general,medium,What CGPA is considered normal progress toward a degree?,ডিগ্রির দিকে normal progress হিসেবে কত CGPA ধরা হয়?,Degree-r dike normal progress hisebe koto CGPA dhora hoy?,A CGPA of 2.25 or better is considered normal progress toward a degree.,CGPA 2.25 বা তার বেশি হলে ডিগ্রির দিকে normal progress ধরা হয়।,CGPA 2.25 or better hole degree-r dike normal progress dhora hoy.,curricula_BSc-Curriculum-New.pdf,20,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q026,GENERAL,general,medium,What is the fee for re-examination of a final answer script?,ফাইনাল answer script re-examination-এর ফি কত?,Final answer script re-examination-er fee koto?,The re-examination fee is Taka 200 per script.,প্রতি script re-examination-এর ফি Taka 200।,Per script re-examination fee Taka 200.,curricula_BSc-Curriculum-New.pdf,20,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q027,GENERAL,general,medium,Within how many working days must a re-examination application be submitted?,Re-examination application কত working day-এর মধ্যে জমা দিতে হয়?,Re-examination application koto working day-er moddhe submit korte hoy?,The application must be submitted within 7 working days from publication of final results.,ফাইনাল ফল প্রকাশের 7 working day-এর মধ্যে application জমা দিতে হয়।,Final result publish howar 7 working day-er moddhe application submit korte hoy.,curricula_BSc-Curriculum-New.pdf,20,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q028,GENERAL,general,medium,When is a student allowed to appear at a repeat examination?,কখন একজন শিক্ষার্থী repeat examination দিতে পারে?,Kokhon ekjon student repeat examination dite pare?,"A student may appear at a repeat examination if they fail in three theory courses or less, not exceeding 10 credit hours.",তিনটি বা তার কম theory course-এ ফেল করলে এবং তা 10 credit hour-এর বেশি না হলে repeat examination দেওয়া যায়।,"Tin ta ba tar kom theory course-e fail korle, 10 credit hour exceed na korle, repeat examination deya jay.",curricula_BSc-Curriculum-New.pdf,20,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q029,GENERAL,general,medium,What is the fee for a repeat examination course?,Repeat examination-এর প্রতি কোর্সের ফি কত?,Repeat examination-er per course fee koto?,The repeat examination fee is Taka 3000 per course.,Repeat examination-এর ফি প্রতি course Taka 3000।,Repeat examination-er fee per course Taka 3000.,curricula_BSc-Curriculum-New.pdf,21,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q030,GENERAL,assessment,medium,How many courses can a student repeat for grade improvement?,Grade improvement-এর জন্য একজন শিক্ষার্থী সর্বোচ্চ কয়টি কোর্স repeat করতে পারে?,Grade improvement-er jonno ekjon student maximum koyta course repeat korte pare?,"For grade improvement, a student may repeat a maximum of four courses.",Grade improvement-এর জন্য একজন শিক্ষার্থী সর্বোচ্চ চারটি course repeat করতে পারে।,Grade improvement-er jonno ekjon student maximum four courses repeat korte pare.,curricula_BSc-Curriculum-New.pdf,21,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q031,GENERAL,mark_distribution,medium,What percentage of total seats is reserved for children of Freedom Fighters?,Freedom Fighters-এর সন্তানদের জন্য মোট আসনের কত শতাংশ সংরক্ষিত?,Freedom Fighters-er children-der jonno total seats-er koto percent reserved?,3% of total seats are reserved for the children of Freedom Fighters.,Freedom Fighters-এর সন্তানদের জন্য মোট আসনের 3% সংরক্ষিত।,Freedom Fighters-er children-der jonno total seats-er 3% reserved.,curricula_BSc-Curriculum-New.pdf,22,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q032,CSE 101,course_credit,medium,How many credits is CSE 101 Introduction to Computer Science & Programming Methodology?,CSE 101 Introduction to Computer Science & Programming Methodology কোর্সটির ক্রেডিট কত?,CSE 101 Introduction to Computer Science & Programming Methodology course-er credit koto?,CSE 101 Introduction to Computer Science & Programming Methodology is a 3.00-credit course.,CSE 101 Introduction to Computer Science & Programming Methodology 3.00 ক্রেডিটের কোর্স।,CSE 101 Introduction to Computer Science & Programming Methodology 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q033,CSE 102,course_credit,medium,How many credits is CSE 102 Introduction to Computer Sc. & Programming Methodology Lab?,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab কোর্সটির ক্রেডিট কত?,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab course-er credit koto?,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab is a 1.50-credit course.,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab 1.50 ক্রেডিটের কোর্স।,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q034,HSS 101,course_credit,medium,How many credits is HSS 101 English I: Written and Spoken English?,HSS 101 English I: Written and Spoken English কোর্সটির ক্রেডিট কত?,HSS 101 English I: Written and Spoken English course-er credit koto?,HSS 101 English I: Written and Spoken English is a 3.00-credit course.,HSS 101 English I: Written and Spoken English 3.00 ক্রেডিটের কোর্স।,HSS 101 English I: Written and Spoken English 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q035,HSS 111,course_credit,medium,How many credits is HSS 111(A) Bangladesh Studies: Society and Culture?,HSS 111(A) Bangladesh Studies: Society and Culture কোর্সটির ক্রেডিট কত?,HSS 111(A) Bangladesh Studies: Society and Culture course-er credit koto?,HSS 111(A) Bangladesh Studies: Society and Culture is a 2.00-credit course.,HSS 111(A) Bangladesh Studies: Society and Culture 2.00 ক্রেডিটের কোর্স।,HSS 111(A) Bangladesh Studies: Society and Culture 2.00-credit course.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q036,HSS 111,course_credit,medium,How many credits is HSS 111(B) Bangladesh Studies: Bangladesh History?,HSS 111(B) Bangladesh Studies: Bangladesh History কোর্সটির ক্রেডিট কত?,HSS 111(B) Bangladesh Studies: Bangladesh History course-er credit koto?,HSS 111(B) Bangladesh Studies: Bangladesh History is a 2.00-credit course.,HSS 111(B) Bangladesh Studies: Bangladesh History 2.00 ক্রেডিটের কোর্স।,HSS 111(B) Bangladesh Studies: Bangladesh History 2.00-credit course.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q037,PHY 101,course_credit,medium,How many credits is PHY 101 Physics?,PHY 101 Physics কোর্সটির ক্রেডিট কত?,PHY 101 Physics course-er credit koto?,PHY 101 Physics is a 3.00-credit course.,PHY 101 Physics 3.00 ক্রেডিটের কোর্স।,PHY 101 Physics 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q038,PHY 102,course_credit,medium,How many credits is PHY 102 Physics Lab?,PHY 102 Physics Lab কোর্সটির ক্রেডিট কত?,PHY 102 Physics Lab course-er credit koto?,PHY 102 Physics Lab is a 1.50-credit course.,PHY 102 Physics Lab 1.50 ক্রেডিটের কোর্স।,PHY 102 Physics Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q039,MTH 101,course_credit,medium,"How many credits is MTH 101 Math I: Basic Calculus, Co-ordinate Geometry?","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry কোর্সটির ক্রেডিট কত?","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry course-er credit koto?","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry is a 3.00-credit course.","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry 3.00 ক্রেডিটের কোর্স।","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry 3.00-credit course.",curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q040,CSE 103,course_credit,medium,How many credits is CSE 103 Structured Programming?,CSE 103 Structured Programming কোর্সটির ক্রেডিট কত?,CSE 103 Structured Programming course-er credit koto?,CSE 103 Structured Programming is a 3.00-credit course.,CSE 103 Structured Programming 3.00 ক্রেডিটের কোর্স।,CSE 103 Structured Programming 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q041,CSE 104,course_credit,medium,How many credits is CSE 104 Structured Programming Lab?,CSE 104 Structured Programming Lab কোর্সটির ক্রেডিট কত?,CSE 104 Structured Programming Lab course-er credit koto?,CSE 104 Structured Programming Lab is a 1.50-credit course.,CSE 104 Structured Programming Lab 1.50 ক্রেডিটের কোর্স।,CSE 104 Structured Programming Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q042,CSE 105,course_credit,medium,How many credits is CSE 105 Discrete Mathematics?,CSE 105 Discrete Mathematics কোর্সটির ক্রেডিট কত?,CSE 105 Discrete Mathematics course-er credit koto?,CSE 105 Discrete Mathematics is a 3.00-credit course.,CSE 105 Discrete Mathematics 3.00 ক্রেডিটের কোর্স।,CSE 105 Discrete Mathematics 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q043,EEE 121,course_credit,medium,How many credits is EEE 121 Electrical & Electronic Engineering I?,EEE 121 Electrical & Electronic Engineering I কোর্সটির ক্রেডিট কত?,EEE 121 Electrical & Electronic Engineering I course-er credit koto?,EEE 121 Electrical & Electronic Engineering I is a 3.00-credit course.,EEE 121 Electrical & Electronic Engineering I 3.00 ক্রেডিটের কোর্স।,EEE 121 Electrical & Electronic Engineering I 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q044,EEE 122,course_credit,medium,How many credits is EEE 122 Electrical & Electronic Engineering I Lab?,EEE 122 Electrical & Electronic Engineering I Lab কোর্সটির ক্রেডিট কত?,EEE 122 Electrical & Electronic Engineering I Lab course-er credit koto?,EEE 122 Electrical & Electronic Engineering I Lab is a 1.50-credit course.,EEE 122 Electrical & Electronic Engineering I Lab 1.50 ক্রেডিটের কোর্স।,EEE 122 Electrical & Electronic Engineering I Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q045,MTH 103,course_credit,medium,How many credits is MTH 103 Math II: Linear Algebra?,MTH 103 Math II: Linear Algebra কোর্সটির ক্রেডিট কত?,MTH 103 Math II: Linear Algebra course-er credit koto?,MTH 103 Math II: Linear Algebra is a 3.00-credit course.,MTH 103 Math II: Linear Algebra 3.00 ক্রেডিটের কোর্স।,MTH 103 Math II: Linear Algebra 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q046,CHEM 111,course_credit,medium,How many credits is CHEM 111 Chemistry?,CHEM 111 Chemistry কোর্সটির ক্রেডিট কত?,CHEM 111 Chemistry course-er credit koto?,CHEM 111 Chemistry is a 3.00-credit course.,CHEM 111 Chemistry 3.00 ক্রেডিটের কোর্স।,CHEM 111 Chemistry 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q047,CHEM 112,course_credit,medium,How many credits is CHEM 112 Chemistry Lab?,CHEM 112 Chemistry Lab কোর্সটির ক্রেডিট কত?,CHEM 112 Chemistry Lab course-er credit koto?,CHEM 112 Chemistry Lab is a 1.50-credit course.,CHEM 112 Chemistry Lab 1.50 ক্রেডিটের কোর্স।,CHEM 112 Chemistry Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q048,CSE 203,course_credit,medium,How many credits is CSE 203 Object Oriented Programming I: Java?,CSE 203 Object Oriented Programming I: Java কোর্সটির ক্রেডিট কত?,CSE 203 Object Oriented Programming I: Java course-er credit koto?,CSE 203 Object Oriented Programming I: Java is a 3.00-credit course.,CSE 203 Object Oriented Programming I: Java 3.00 ক্রেডিটের কোর্স।,CSE 203 Object Oriented Programming I: Java 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q049,CSE 204,course_credit,medium,How many credits is CSE 204 Object Oriented Programming I Lab: Java Lab?,CSE 204 Object Oriented Programming I Lab: Java Lab কোর্সটির ক্রেডিট কত?,CSE 204 Object Oriented Programming I Lab: Java Lab course-er credit koto?,CSE 204 Object Oriented Programming I Lab: Java Lab is a 1.50-credit course.,CSE 204 Object Oriented Programming I Lab: Java Lab 1.50 ক্রেডিটের কোর্স।,CSE 204 Object Oriented Programming I Lab: Java Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q050,CSE 205,course_credit,medium,How many credits is CSE 205 Data Structures?,CSE 205 Data Structures কোর্সটির ক্রেডিট কত?,CSE 205 Data Structures course-er credit koto?,CSE 205 Data Structures is a 3.00-credit course.,CSE 205 Data Structures 3.00 ক্রেডিটের কোর্স।,CSE 205 Data Structures 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q051,CSE 206,course_credit,medium,How many credits is CSE 206 Data Structures Lab?,CSE 206 Data Structures Lab কোর্সটির ক্রেডিট কত?,CSE 206 Data Structures Lab course-er credit koto?,CSE 206 Data Structures Lab is a 1.50-credit course.,CSE 206 Data Structures Lab 1.50 ক্রেডিটের কোর্স।,CSE 206 Data Structures Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q052,MTH 201,course_credit,medium,How many credits is MTH 201 Math III: Multivariable Calculus?,MTH 201 Math III: Multivariable Calculus কোর্সটির ক্রেডিট কত?,MTH 201 Math III: Multivariable Calculus course-er credit koto?,MTH 201 Math III: Multivariable Calculus is a 3.00-credit course.,MTH 201 Math III: Multivariable Calculus 3.00 ক্রেডিটের কোর্স।,MTH 201 Math III: Multivariable Calculus 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q053,EEE 221,course_credit,medium,How many credits is EEE 221 Electrical & Electronic Engineering II?,EEE 221 Electrical & Electronic Engineering II কোর্সটির ক্রেডিট কত?,EEE 221 Electrical & Electronic Engineering II course-er credit koto?,EEE 221 Electrical & Electronic Engineering II is a 4.00-credit course.,EEE 221 Electrical & Electronic Engineering II 4.00 ক্রেডিটের কোর্স।,EEE 221 Electrical & Electronic Engineering II 4.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
