language,question,reference,final_answer,answer_strategy,generation_used,language_validation_passed,grounding_validation_passed,source,page,supporting_excerpt,correctness,relevance,groundedness,completeness,naturalness,semantic_consistency,error_category,notes
bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,প্রসপেক্টাসটি প্রকাশক তথ্য দেওয়া হয়নি।,gguf_generation,True,True,True,curricula_BSc-Curriculum-New.pdf,64,"4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher.",,,,,,,,
bangla,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,CSE Department August 2014 থেকে BSc in CSE প্রোগ্রামের জন্য IEB accreditation পেয়েছে।,CSE অধ্যাদেশ ইngineers Institution Bangladesh (IEB) থেকে BSc in CSE প্রোগ্রামের জন্য স্বীকৃতি পেয়েছে।,gguf_generation,True,True,True,curricula_BSc-Curriculum-New.pdf,6,IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership.,,,,,,,,
bangla,UAP Administration কোথায় অবস্থিত?,"UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-এ অবস্থিত।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,True,False,,,,,,,,,,,
bangla,ফাইনাল answer script re-examination-এর ফি কত?,প্রতি script re-examination-এর ফি Taka 200।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,True,False,,,,,,,,,,,
bangla,কখন একজন শিক্ষার্থী repeat examination দিতে পারে?,তিনটি বা তার কম theory course-এ ফেল করলে এবং তা 10 credit hour-এর বেশি না হলে repeat examination দেওয়া যায়।,"একজন শিক্ষার্থী রিটেন্ড পরীক্ষায় দিতে পারে, যদি তিনটি বিষয়ে বা 10 ক্রেডিট হাইর্স থেকে কম বা সমান অনুপস্থিতি হয়। পরীক্ষারезультат的翻译如下：

一位学生可以参加重考，如果他们在三个科目或少于10学分的科目中不及格。重考的成绩最高为B（相当于60%）。",gguf_generation,True,True,True,curricula_BSc-Curriculum-New.pdf,20,Rules for Repeat Examination A student wo uld be allowed to appear at the Repeat Examination in case s/he fails in three theory courses or less but not exceeding 10 credit hours. The results of Repeat Examinations would be published within three weeks from the date of publication of the results of the Semester Final,,,,,,,,
bangla,Repeat examination-এর প্রতি কোর্সের ফি কত?,Repeat examination-এর ফি প্রতি course Taka 3000।,নির্দেশিত মানের ফি প্রদান করা হয়নি।,gguf_generation,True,True,True,curricula_BSc-Curriculum-New.pdf,21,…xt semester would start. Repeat Examinations on theory courses would be held on 50 percent of marks for each course and the marks for Class Assessment and Mid Semester Examination would be carried. There shall be no repeat examinations for sessional courses. The maximum grade to be obtained by a student in a repeat examination would be ‗B‘ (equivalent to 60%). The following grading system would be followed in the rep…,,,,,,,,
bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,False,True,True,,,,,,,,,,,
bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,False,True,True,,,,,,,,,,,
bangla,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,CSE Head-এর যোগাযোগের ইমেইল হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,structured_exact,False,True,True,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu,,,,,,,,
bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,"প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,False,True,True,,,,,,,,,,,
banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,True,False,False,,,,,,,,,,,
banglish,Prospectus-er information niye disclaimer-e ki bola hoyeche?,"Prospectus-er information Department of CSE, UAP-er discretion-e change hote pare.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,True,False,,,,,,,,,,,
banglish,UAP kobe established hoy?,UAP 1996 shale established hoy.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,True,False,,,,,,,,,,,
banglish,UAP shurute kon duita bachelor degree program offer korechilo?,UAP shurute Computer Science & Engineering ebong Business Administration-e four-year bachelor degree program offer korechilo.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,True,False,,,,,,,,,,,
banglish,Prospectus onujayi kotojon B.Sc.Engg. graduate degree peyechilo?,Prospectus onujayi 2200 graduate-ke B.Sc.Engg. degree deya hoyeche.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,True,False,False,,,,,,,,,,,
banglish,CSE Department IEB theke ki accreditation peyechhe?,CSE Department August 2014 theke BSc in CSE program-er jonno IEB accreditation peyechhe.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,True,False,,,,,,,,,,,
banglish,UAP kon act-er odhine operation start korechilo?,UAP Private University Act 1992-er odhine operation start korechilo.,UAP operation 1996-er moshobon shuru korechilo.,gguf_generation,True,True,True,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…",,,,,,,,
banglish,Introduction-e UAP koyta undergraduate ar postgraduate discipline offer kore bola hoyeche?,Introduction-e bola hoyeche UAP nine discipline-e undergraduate ar eight discipline-e post-graduate program offer kore.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,True,False,,,,,,,,,,,
banglish,Prospectus-e Vice-Chancellor hisebe kar naam deya ache?,Prof. Dr. Jamilur Reza Choudhury-ke Vice-Chancellor hisebe mention kora hoyeche.,Vice-Chancellor er name Jamilur Reza Choudhury.,gguf_generation,True,True,True,curricula_BSc-Curriculum-New.pdf,8,"1.2 University Administration Vice-Chancellor Prof. Dr. Jamilur Reza Choudhury B.Sc.(Engg.), Civil (BUET), M.Sc.(Engg.) ( Advanced Structural Engineering), Ph.D. (University of Southampton), Doctor of Engineering (Honoris Causa) Man chester University, UK. Fellow, Bangladesh Computer Society, Fellow, Bangladesh Academy of Sciences. Fellow, Institution of Engineers (Ba ngladesh) Email: vc@uap -bd.edu Pro Vice- Chancel…",,,,,,,,
banglish,UAP Administration kothay located?,"UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-e located.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,True,False,,,,,,,,,,,
