case_id,language,question,reference_answer,verified_evidence,source,page,SYSTEM_A_answer,SYSTEM_B_answer,SYSTEM_A_language_pass,SYSTEM_B_language_pass,SYSTEM_A_grounding_pass,SYSTEM_B_grounding_pass,SYSTEM_A_latency,SYSTEM_B_latency,A_correctness,B_correctness,A_relevance,B_relevance,A_groundedness,B_groundedness,A_completeness,B_completeness,A_naturalness,B_naturalness,preferred_answer,review_notes
S7B-011,english,What is Category 1 in the registration process?,Category 1 is for students who passed all prescribed semester courses and have no backlog.,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 18, ""heading"": ""Category 1:"", ""entity"": null, ""excerpt"": ""Category 1: Students, who have passed all the courses prescribed for the semester and have no backlog of courses. A student of Category -1 is eligible for registration in all courses prescribed for the next or following semesters."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000018-b0002-c0001"", ""retrieval_score"": 0.03278688524590164}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 18, ""heading"": ""Category 3:"", ""entity"": null, ""excerpt"": ""Category 3: Students, who have failed to earn 15 credits in a semester, belong to this category. Students of this category are advised to take a t least two courses less in the following semester than those offered for students of Category -1 subject to the registration for a minimum of 15 credits and maximum 24 credit hours. However, they are required to register for such backlog courses as would be prescribed by th…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000018-b0004-c0001"", ""retrieval_score"": 0.03225806451612903}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 18, ""heading"": ""Category 2:"", ""entity"": null, ""excerpt"": ""Category 2: Students, who have earned at least 15 credits in a semester but do not belong to Category 1. These students are advised to take at least one course less in the following semester than those offered for students of Category 1, subject to the condition that, they will register for such backlog courses as prescribed by the respective adviser."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000018-b0003-c0001"", ""retrieval_score"": 0.03149801587301587}]",curricula_BSc-Curriculum-New.pdf,18,Category 1 refers to students who have passed all the courses prescribed for the semester and have no backlog of courses. These students are eligible for registration in all courses prescribed for the next or following semesters.,Category 1 includes students who have passed all courses prescribed for the semester and have no backlog of courses. These students are eligible for registration in all courses for the next or following semesters.,True,True,True,True,5.614700199999788,10.574783499999285,,,,,,,,,,,,
S7B-012,english,What happens if a student gets less than 40% in a course?,Less than 40% results in an F grade with grade point 0.00.,[],,,I couldn't find enough information in the provided university documents to answer this reliably.,I couldn't find enough information in the provided university documents to answer this reliably.,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-013,english,What attendance is required to sit for the final examination?,A student must attend at least 70% of all classes held in every course to sit for the final examination.,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 20, ""heading"": ""Attendance"", ""entity"": null, ""excerpt"": ""Attendance All students are expected to attend classes regularly. The University of Asia Pacific believes that regular attendance is essential for effective learning. A student is required to attend at least 70% of all the classes held in every course in order to sit for the final examination."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000020-b0001-c0001"", ""retrieval_score"": 0.03278688524590164}]",,,I couldn't find enough information in the provided university documents to answer this reliably.,I couldn't find enough information in the provided university documents to answer this reliably.,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-014,english,What CGPA is considered normal progress toward a degree?,A CGPA of 2.25 or better is considered normal progress toward a degree.,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 20, ""heading"": ""Performance Evaluation"", ""entity"": null, ""excerpt"": ""Performance Evaluation The performance of a student will be evaluated in terms of semester GPA and cumulative grade point average (CGPA), which is the grade point average for the semesters under consideration. A candidate will be awarded a degree with honors if his/her CGPA is 3.75 or above. A student will be considered to be making normal progress towards a degree if his/her CGPA for all work attempted is 2.25 or be…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000020-b0003-c0001"", ""retrieval_score"": 0.03278688524590164}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 21, ""heading"": ""Category - B"", ""entity"": null, ""excerpt"": ""Category - B 1. A Cumulative Grade Point Average (CGPA) of minimum 2.25 is required for graduation. A candidate whose CGPA is below 2.25 shall have to increase his/her CGPA to the minimum requirement within two consecutive semesters failing which s/he shall be placed under academic probation."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000021-b0004-c0001"", ""retrieval_score"": 0.03225806451612903}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 19, ""heading"": ""GPA Calculation:"", ""entity"": null, ""excerpt"": ""…ion: A student's performance is measured by the number of c redits that he/she has completed satisfactorily and the weighted average of the grade points that he/she has maintained. A minimum GPA is required to be maintained for satisfactory progress and a minimum number of earned credits should be acquired in Credits CreditssGradePoGPA   )int( Where grade points are points against letter grades A+, A, A -, B+, B,…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000019-b0005-c0001"", ""retrieval_score"": 0.031746031746031744}]",,,I couldn't find enough information in the provided university documents to answer this reliably.,I couldn't find enough information in the provided university documents to answer this reliably.,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-015,english,When is a student allowed to appear at a repeat examination?,"A student may appear at a repeat examination if they fail in three theory courses or less, not exceeding 10 credit hours.","[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 20, ""heading"": ""Rules for Repeat Examination"", ""entity"": null, ""excerpt"": ""Rules for Repeat Examination A student wo uld be allowed to appear at the Repeat Examination in case s/he fails in three theory courses or less but not exceeding 10 credit hours. The results of Repeat Examinations would be published within three weeks from the date of publication of the results of the Semester Final"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000020-b0006-c0001"", ""retrieval_score"": 0.03278688524590164}]",,,I couldn't find enough information in the provided university documents to answer this reliably.,I couldn't find enough information in the provided university documents to answer this reliably.,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-016,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,[],,,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।","নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-017,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 64, ""heading"": ""4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher."", ""entity"": null, ""excerpt"": ""4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000064-b0005-c0001"", ""retrieval_score"": 0.01639344262295082}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 70, ""heading"": ""5. L. L. Lapin, Probability and Statistics for Modern"", ""entity"": null, ""excerpt"": ""5. L. L. Lapin, Probability and Statistics for Modern Engineering, Wadsworth Publishing Co Inc. 6. M. R. Spiegel and L. J. Stephens, Statistics, Schaum‘s outlines."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000070-b0005-c0001"", ""retrieval_score"": 0.015873015873015872}]",curricula_BSc-Curriculum-New.pdf,64,প্রসপেক্টাসটি প্রকাশ করেছেন না। এই প্রোগ্রামের প্রশিক্ষণ বইয়ের সম্প্রসারণে প্রসপেক্টাস নামের একটি বই প্রকাশিত হয়েছে না।,তা বিবেচনা করা হয় না।,True,True,True,True,22.53669379999974,8.089732999999796,,,,,,,,,,,,
S7B-018,bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,"প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।",[],,,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-019,bangla,UAP শুরুতে কোন দুইটি ব্যাচেলর ডিগ্রি প্রোগ্রাম অফার করেছিল?,UAP শুরুতে Computer Science & Engineering এবং Business Administration-এ চার বছরের ব্যাচেলর ডিগ্রি প্রোগ্রাম অফার করেছিল।,[],,,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-020,bangla,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,CSE Department August 2014 থেকে BSc in CSE প্রোগ্রামের জন্য IEB accreditation পেয়েছে।,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 6, ""heading"": ""IEB Affiliation"", ""entity"": null, ""excerpt"": ""IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000006-b0002-c0001"", ""retrieval_score"": 0.03278688524590164}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 32, ""heading"": ""3. Network and Communication Research Group (NCRG) of CSE"", ""entity"": null, ""excerpt"": ""3. Network and Communication Research Group (NCRG) of CSE Department is conducting research on real -life, industry-oriented problems. QUBEE will share necessary relevant information, if any. The outcome of the research can be accessed by both parties."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000032-b0002-c0001"", ""retrieval_score"": 0.030090497737556562}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 25, ""heading"": ""Vision"", ""entity"": null, ""excerpt"": ""Vision The department of CSE, UAP is striving for pioneer role in ICT through excellence in education, research and developm ent towards preparing graduates as a global leader with quality education, innovative ideas, extracurricular activities and collaboration between industry and academia."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000025-b0001-c0001"", ""retrieval_score"": 0.029211087420042643}]",curricula_BSc-Curriculum-New.pdf,6,তা হল কোনো স্বীকৃতি নয়। এই স্বীকৃতি পেয়েছে কোনো স্বীকৃতি নয় এবং এটি কোনো স্বীকৃতি নয়। কোনো স্বীকৃতি পেয়েছে না। CSE দপ্ত,বাংলা পাওয়া হয়েছে: বাংলা পাওয়া হয়েছে: বাংলা পাওয়া হয়েছে: বাংলা পাওয়া হয়েছে:,True,True,True,True,31.813042300000234,15.247418700000708,,,,,,,,,,,,
S7B-021,bangla,UAP কোন আইনের অধীনে কার্যক্রম শুরু করেছিল?,UAP Private University Act 1992-এর অধীনে কার্যক্রম শুরু করেছিল।,[],,,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-022,bangla,ভূমিকায় UAP কয়টি আন্ডারগ্র্যাজুয়েট ও পোস্টগ্র্যাজুয়েট ডিসিপ্লিন অফার করে বলা হয়েছে?,ভূমিকায় বলা হয়েছে UAP নয়টি ডিসিপ্লিনে আন্ডারগ্র্যাজুয়েট এবং আটটি ডিসিপ্লিনে পোস্টগ্র্যাজুয়েট প্রোগ্রাম অফার করে।,[],,,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-023,bangla,প্রসপেক্টাসে Vice-Chancellor হিসেবে কার নাম দেওয়া আছে?,Prof. Dr. Jamilur Reza Choudhury-কে Vice-Chancellor হিসেবে উল্লেখ করা হয়েছে।,[],,,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।","নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",True,True,True,True,0.0,0.0,,,,,,,,,,,,
