question_id,language,question,reference,before_step7d_answer,after_step7d_answer,strategy,source,page,supporting_evidence,language_validation_reason,grounding_validation_reason,semantic_rejection_reason,correctness,relevance,groundedness,completeness,naturalness,semantic_consistency,error_category,notes
Q007,english,Which two bachelor degree programs did UAP initially offer?,UAP initially offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration.,UAP initially offered Bachelor Degree Programs in Computer Science & Technology (or Computer Science & Engineering) and Business Administration.,UAP initially offered four-year Bachelor Degree Programs in Computer Science & Technology and Business Administration.,gguf_generation,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…",ENGLISH_BODY_VALID,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q007,banglish,UAP shurute kon duita bachelor degree program offer korechilo?,UAP shurute Computer Science & Engineering ebong Business Administration-e four-year bachelor degree program offer korechilo.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,WRONG_RELATION_VALUE,,,,,,,,
Q008,english,How many B.Sc.Engg. graduates had received degrees according to the prospectus?,"According to the prospectus, B.Sc.Engg. degrees had been conferred on 2200 graduates.",I couldn't find enough information in the provided university documents to answer this reliably.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,,,,ENGLISH_BODY_VALID,GENERATION_REJECTED,WRONG_POLARITY,,,,,,,,
Q009,english,What accreditation did the CSE Department receive from IEB?,The CSE Department received IEB accreditation for the BSc in CSE program starting from August 2014.,The CSE Department received a Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,The CSE Department received a Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,gguf_generation,curricula_BSc-Curriculum-New.pdf,6,IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership.,ENGLISH_BODY_VALID,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q009,bangla,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,CSE Department August 2014 থেকে BSc in CSE প্রোগ্রামের জন্য IEB accreditation পেয়েছে।,CSE অধ্যাদেশ ইngineers Institution Bangladesh (IEB) থেকে BSc in CSE প্রোগ্রামের জন্য স্বীকৃতি পেয়েছে।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,,,,,,,,
Q009,banglish,CSE Department IEB theke ki accreditation peyechhe?,CSE Department August 2014 theke BSc in CSE program-er jonno IEB accreditation peyechhe.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,,,,,,,,
Q010,english,Under which act did UAP start its operation?,UAP started its operation under the Private University Act 1992.,UAP started its operation under the Private University Act 1992.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,,,,ENGLISH_BODY_VALID,GENERATION_REJECTED,WRONG_RELATION_VALUE,,,,,,,,
Q010,banglish,UAP kon act-er odhine operation start korechilo?,UAP Private University Act 1992-er odhine operation start korechilo.,UAP operation 1996-er moshobon shuru korechilo.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,WRONG_RELATION_VALUE,,,,,,,,
Q011,english,How many undergraduate and postgraduate disciplines does UAP offer according to the introduction?,The introduction says UAP offers undergraduate programs in nine disciplines and post-graduate programs in eight disciplines.,"UAP offers undergraduate programs in nine disciplines and postgraduate programs in multiple disciplines, though the exact number of postgraduate disciplines is not specified in the provided evidence.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,,,,ENGLISH_BODY_VALID,GENERATION_REJECTED,MISSING_REQUIRED_ENTITY,,,,,,,,
Q011,banglish,Introduction-e UAP koyta undergraduate ar postgraduate discipline offer kore bola hoyeche?,Introduction-e bola hoyeche UAP nine discipline-e undergraduate ar eight discipline-e post-graduate program offer kore.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,BANGLISH_BODY_PURE_ENGLISH,,,,,,,,
Q012,banglish,Prospectus-e Vice-Chancellor hisebe kar naam deya ache?,Prof. Dr. Jamilur Reza Choudhury-ke Vice-Chancellor hisebe mention kora hoyeche.,Vice-Chancellor er name Jamilur Reza Choudhury.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,,,,,,,,
Q013,english,Where is the UAP Administration located?,"UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh.","UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.","The UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.",gguf_generation,curricula_BSc-Curriculum-New.pdf,11,"1.6 The Campus UAP Administration 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh PABX:+8802-58157091-4, +8802-58157096 Ext: 107, 114 FAX:+8802-58157097 Email: registrar@uap-bd.edu",ENGLISH_BODY_VALID,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q013,bangla,UAP Administration কোথায় অবস্থিত?,"UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-এ অবস্থিত।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_REJECTED,BANGLA_BODY_TOO_ENGLISH,,,,,,,,
Q013,banglish,UAP Administration kothay located?,"UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-e located.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,BANGLISH_BODY_PURE_ENGLISH,,,,,,,,
Q019,english,What is Category 1 in the registration process?,Category 1 is for students who passed all prescribed semester courses and have no backlog.,Category 1: Students who have passed all the courses prescribed for the semester and have no backlog of courses. These students are eligible for registration in all courses prescribed for the next or following semesters.,Category 1 students have passed all the courses prescribed for the semester and have no backlog of courses. These students are eligible for registration in all courses prescribed for the next or following semesters.,gguf_generation,curricula_BSc-Curriculum-New.pdf,18,"Category 1: Students, who have passed all the courses prescribed for the semester and have no backlog of courses. A student of Category -1 is eligible for registration in all courses prescribed for the next or following semesters.",ENGLISH_BODY_VALID,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q026,english,What is the fee for re-examination of a final answer script?,The re-examination fee is Taka 200 per script.,The fee for re-examination of a final answer script is Taka 200/- (Tk. Two Hundred) per script.,The fee for re-examination of a final answer script is Taka 200/- (Tk. Two Hundred) per script.,gguf_generation,curricula_BSc-Curriculum-New.pdf,20,Examination Rules Re -examination or Re -scrutiny of Answer Scripts Re-examination of final examination answer scripts may be permissible. A candidate can apply for re -examination of any answer script of final examination to the Controller of Examinati ons through their advisor and the head of the department on payment of Taka 200/ - (Tk. Two Hundred) only per script within 7 (seven) working days from the publicatio…,ENGLISH_BODY_VALID,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q026,bangla,ফাইনাল answer script re-examination-এর ফি কত?,প্রতি script re-examination-এর ফি Taka 200।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_REJECTED,MISSING_REQUIRED_ENTITY,,,,,,,,
Q028,bangla,কখন একজন শিক্ষার্থী repeat examination দিতে পারে?,তিনটি বা তার কম theory course-এ ফেল করলে এবং তা 10 credit hour-এর বেশি না হলে repeat examination দেওয়া যায়।,"একজন শিক্ষার্থী রিটেন্ড পরীক্ষায় দিতে পারে, যদি তিনটি বিষয়ে বা 10 ক্রেডিট হাইর্স থেকে কম বা সমান অনুপস্থিতি হয়। পরীক্ষারезультат的翻译如下：

一位学生可以参加重考，如果他们在三个科目或少于10学分的科目中不及格。重考的成绩最高为B（相当于60%）。",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_REJECTED,MIXED_SCRIPT_TOKEN,,,,,,,,
Q029,bangla,Repeat examination-এর প্রতি কোর্সের ফি কত?,Repeat examination-এর ফি প্রতি course Taka 3000।,নির্দেশিত মানের ফি প্রদান করা হয়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_REJECTED,MISSING_REQUIRED_ENTITY,,,,,,,,
Q008,banglish,Prospectus onujayi kotojon B.Sc.Engg. graduate degree peyechilo?,Prospectus onujayi 2200 graduate-ke B.Sc.Engg. degree deya hoyeche.,I couldn't find enough information in the provided university documents to answer this reliably.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,,,,,,,,
