language,question,reference,final_answer,answer_strategy,source,page,supporting_excerpt
bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,তা বিবেচনা করা হয় না।,gguf_generation,curricula_BSc-Curriculum-New.pdf,64,"4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher."
bangla,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,CSE Head-এর যোগাযোগের ইমেইল হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,structured_exact,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu
bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,
bangla,প্রসপেক্টাসে Vice-Chancellor হিসেবে কার নাম দেওয়া আছে?,Prof. Dr. Jamilur Reza Choudhury-কে Vice-Chancellor হিসেবে উল্লেখ করা হয়েছে।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,,,
bangla,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,CSE Department August 2014 থেকে BSc in CSE প্রোগ্রামের জন্য IEB accreditation পেয়েছে।,বাংলা বাক্যে পরিবর্তন: বাংলা বাক্যে পরিবর্তন: বাংলা বাক্যে পরিবর্তন: বাংলা বাক্যে পরিবর্তন: বাংলা বাক্যে পরিবর্তন: বাংলা বাক্যে পরিবর্তন: বাংলা বাক্যে পরিবর্তন: বাংলা বাক্যে পরিবর্ত,gguf_generation,curricula_BSc-Curriculum-New.pdf,6,IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership.
bangla,Admission Office-এর ইমেইল ঠিকানা কী?,Admission Office-এর ইমেইল ঠিকানা হলো admission@uap-bd.edu এবং registrar@uap-bd.edu।,প্রাসঙ্গিক email address হলো admission@uap-bd.edu।,structured_exact,curricula_BSc-Curriculum-New.pdf,11,"…Road , Farmgate, Dhaka - 1215, Bangladesh Telephone: +8802-9126812 PABX: +8802-58157091-4, +8802-58157096 (Ext - 0, 120) FAX:+8802-58157097 Email: admission@uap-bd.edu,, registrar@uap-bd.edu Department of Architecture 74/A , Green Road, Farmgate,Dhaka - 1215, Bangladesh PABX:+8802-58157091-4, +8802-58157096 FAX:+8802-58157097 Email: headarch@uap-bd.edu Department of Business Administration R H Center , House # 74/B/1…"
bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,"প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,
bangla,থিওরেটিক্যাল কোর্সে এক ক্রেডিট কীভাবে নির্ধারিত হয়?,থিওরেটিক্যাল কোর্সে প্রতি সেমিস্টারে প্রতি সপ্তাহে এক লেকচার এক ক্রেডিটের সমান।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,,,
banglish,Theoretical course-e one credit kivabe assigned hoy?,Theoretical course-e per week per semester one lecture one credit-er equivalent.,"Reliable answer-er jonno kon course, program, policy, ba item bujhacchen seta specify korun.",ambiguous,,,
banglish,CSE 101 Introduction to Computer Science & Programming Methodology course-er prerequisite ki deya ache?,CSE 101 Introduction to Computer Science & Programming Methodology course-er jonno kono prerequisite deya nei.,University document-gulote ei bishoye conflicting information ache.,conflicting,curricula_BSc-Curriculum-New.pdf,51,CSE 101 Introduction to Computer Science & Programming Methodology 3.00 Nil
banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,The evidence suggests that faculty members and students of UAP are engaged in publishing their researches at IJCIT.,gguf_generation,curricula_BSc-Curriculum-New.pdf,28,…onals who can make positive contribution in the development of this country. Most of the faculty members and students of UAP are engaged to publish their researches at IJCIT.
banglish,CSE Head-er sathe correspondence-er jonno kon email deya ache?,CSE Head-er correspondence email holo headcse@uap-bd.edu.,Relevant email address holo headcse@uap-bd.edu.,structured_exact,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu
banglish,Theoretical course-e marks distribution ki?,"Distribution holo Assessment 30%, Mid Semester 20%, ar Final Exam 50%.","Marks distribution-er details:
- Final Exam: 50%
- Assessment: 30%",structured_list,curricula_BSc-Curriculum-New.pdf,18,"Grading System The total performance of a student in a given course is based on a scheme of continuous assessments. For theoretical courses this continuous assessment is made through homework, assignments, attendance, quizzes etc., a mid semester and a semester final examina tion of three/two hours duration. The distribution of marks for a given course is as follows: Assessment 30% Mid Semester 20% Final Exam 50%"
banglish,Undergraduate prospectus-tar title ki?,Title holo UAP-er Department of Computer Science & Engineering-er Prospectus (Undergraduate Program) 2017-18.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,
banglish,UAP kobe established hoy?,UAP 1996 shale established hoy.,UAP kobe 1996 dekha hoy.,gguf_generation,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…"
banglish,Koto marks pele A+ grade hoy?,80% and above marks-e A+ grade ar grade point 4.00 hoy.,Relevant grade holo C.,structured_exact,curricula_BSc-Curriculum-New.pdf,19,"S –– Exempted (For credit transfer courses) E –– Grade ‗F‘: If a student fails to achieve at least 40% marks in a course, he/she will get ‗F‘ grade in that course. B esides, absence in final examination at the end of each academic semester will also result ‗F‘ grade. Grade ‗E‘: A student transferred to UAP from another university or academic institution will earn ‗E‘ grades in the courses exempted at UAP. Grade ‗I‘ :…"
banglish,Prospectus-e kon edition ar date deya ache?,"Prospectus-ta 13th Edition, July 2017.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,
banglish,Prospectus onujayi kotojon B.Sc.Engg. graduate degree peyechilo?,Prospectus onujayi 2200 graduate-ke B.Sc.Engg. degree deya hoyeche.,"The prospectus for the B.Sc.Engg. graduate degree mentions Prof. M. R. Kabir as a Ph.D., Catholic University of Leuven, Belgium, M.Sc.Engg., and Post Graduate Diploma holder.",gguf_generation,curricula_BSc-Curriculum-New.pdf,8,"Prof. M. R. Kabir Ph.D,Catholic University of Leuven, Belgium, M.Sc.Engg.Post Graduate Diploma,"
